,2021 rank,City,State[c],2020 census,2020 land area.1,Location
0,1,New York[d],New York,8804190,778.3 km2,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}40°40′N 73°56′W﻿ / ﻿40.66°N 73.93°W"
1,2,Los Angeles,California,3898747,"1,216.0 km2",34°01′N 118°25′W﻿ / ﻿34.01°N 118.41°W
2,3,Chicago,Illinois,2746388,589.7 km2,41°50′N 87°41′W﻿ / ﻿41.83°N 87.68°W
3,4,Houston,Texas,2304580,"1,658.6 km2",29°47′N 95°23′W﻿ / ﻿29.78°N 95.39°W
4,5,Phoenix,Arizona,1608139,"1,341.6 km2",33°34′N 112°05′W﻿ / ﻿33.57°N 112.09°W
5,6,Philadelphia[e],Pennsylvania,1603797,348.1 km2,40°00′N 75°08′W﻿ / ﻿40.00°N 75.13°W
6,7,San Antonio,Texas,1434625,"1,291.9 km2",29°28′N 98°31′W﻿ / ﻿29.47°N 98.52°W
7,8,San Diego,California,1386932,844.1 km2,32°49′N 117°08′W﻿ / ﻿32.81°N 117.13°W
8,9,Dallas,Texas,1304379,879.6 km2,32°47′N 96°46′W﻿ / ﻿32.79°N 96.76°W
9,10,San Jose,California,1013240,461.8 km2,37°17′N 121°49′W﻿ / ﻿37.29°N 121.81°W
10,11,Austin,Texas,961855,828.5 km2,30°18′N 97°45′W﻿ / ﻿30.30°N 97.75°W
11,12,Jacksonville[f],Florida,949611,"1,935.5 km2",30°20′N 81°40′W﻿ / ﻿30.33°N 81.66°W
12,13,Fort Worth,Texas,918915,888.1 km2,32°47′N 97°20′W﻿ / ﻿32.78°N 97.34°W
13,14,Columbus,Ohio,905748,569.8 km2,39°59′N 82°59′W﻿ / ﻿39.98°N 82.98°W
14,15,Indianapolis[g],Indiana,887642,936.5 km2,39°46′N 86°08′W﻿ / ﻿39.77°N 86.14°W
15,16,Charlotte,North Carolina,874579,798.5 km2,35°12′N 80°50′W﻿ / ﻿35.20°N 80.83°W
16,17,San Francisco[h],California,873965,121.5 km2,37°43′N 123°02′W﻿ / ﻿37.72°N 123.03°W
17,18,Seattle,Washington,737015,217.0 km2,47°37′N 122°21′W﻿ / ﻿47.62°N 122.35°W
18,19,Denver[i],Colorado,715522,396.5 km2,39°46′N 104°53′W﻿ / ﻿39.76°N 104.88°W
19,20,Oklahoma City,Oklahoma,681054,"1,570.1 km2",35°28′N 97°31′W﻿ / ﻿35.46°N 97.51°W
20,21,Nashville[j],Tennessee,689447,"1,232.3 km2",36°10′N 86°47′W﻿ / ﻿36.17°N 86.78°W
21,22,El Paso,Texas,678815,669.3 km2,31°50′N 106°25′W﻿ / ﻿31.84°N 106.42°W
22,23,Washington[k],District of Columbia,689545,158.2 km2,38°54′N 77°01′W﻿ / ﻿38.90°N 77.01°W
23,24,Boston,Massachusetts,675647,125.1 km2,42°20′N 71°01′W﻿ / ﻿42.33°N 71.02°W
24,25,Las Vegas,Nevada,641903,367.3 km2,36°13′N 115°16′W﻿ / ﻿36.22°N 115.26°W
25,26,Portland,Oregon,652503,345.8 km2,45°32′N 122°39′W﻿ / ﻿45.53°N 122.65°W
26,27,Detroit,Michigan,639111,359.2 km2,42°23′N 83°06′W﻿ / ﻿42.38°N 83.10°W
27,28,Louisville[l],Kentucky,633045,841.5 km2,38°10′N 85°38′W﻿ / ﻿38.16°N 85.64°W
28,29,Memphis,Tennessee,633104,769.2 km2,35°06′N 89°58′W﻿ / ﻿35.10°N 89.97°W
29,30,Baltimore[m],Maryland,585708,209.5 km2,39°18′N 76°37′W﻿ / ﻿39.30°N 76.61°W
30,31,Milwaukee,Wisconsin,577222,249.2 km2,43°04′N 87°58′W﻿ / ﻿43.06°N 87.96°W
31,32,Albuquerque,New Mexico,564559,485.1 km2,35°06′N 106°38′W﻿ / ﻿35.10°N 106.64°W
32,33,Fresno,California,542107,298.4 km2,36°47′N 119°47′W﻿ / ﻿36.78°N 119.79°W
33,34,Tucson,Arizona,542629,624.2 km2,32°09′N 110°52′W﻿ / ﻿32.15°N 110.87°W
34,35,Sacramento,California,524943,255.4 km2,38°34′N 121°28′W﻿ / ﻿38.56°N 121.46°W
35,36,Mesa,Arizona,504258,359.2 km2,33°24′N 111°43′W﻿ / ﻿33.40°N 111.71°W
36,37,Kansas City,Missouri,508090,815.1 km2,39°07′N 94°33′W﻿ / ﻿39.12°N 94.55°W
37,38,Atlanta,Georgia,498715,350.4 km2,33°46′N 84°25′W﻿ / ﻿33.76°N 84.42°W
38,39,Omaha,Nebraska,486051,345.0 km2,41°16′N 96°02′W﻿ / ﻿41.26°N 96.04°W
39,40,Colorado Springs,Colorado,478961,506.1 km2,38°52′N 104°46′W﻿ / ﻿38.86°N 104.76°W
40,41,Raleigh,North Carolina,467665,375.8 km2,35°50′N 78°38′W﻿ / ﻿35.83°N 78.64°W
41,42,Virginia Beach[m],Virginia,459470,633.8 km2,36°47′N 76°01′W﻿ / ﻿36.78°N 76.02°W
42,43,Long Beach,California,466742,131.3 km2,33°48′N 118°09′W﻿ / ﻿33.80°N 118.15°W
43,44,Miami,Florida,442241,93.2 km2,25°46′N 80°12′W﻿ / ﻿25.77°N 80.20°W
44,45,Oakland,California,440646,144.8 km2,37°46′N 122°13′W﻿ / ﻿37.76°N 122.22°W
45,46,Minneapolis,Minnesota,429954,139.9 km2,44°58′N 93°16′W﻿ / ﻿44.96°N 93.26°W
46,47,Tulsa,Oklahoma,413066,511.5 km2,36°07′N 95°54′W﻿ / ﻿36.12°N 95.90°W
47,48,Bakersfield,California,403455,388.0 km2,35°19′N 119°01′W﻿ / ﻿35.32°N 119.01°W
48,49,Wichita,Kansas,397532,419.6 km2,37°41′N 97°20′W﻿ / ﻿37.69°N 97.34°W
49,50,Arlington,Texas,394266,248.4 km2,32°42′N 97°07′W﻿ / ﻿32.70°N 97.12°W
50,51,Aurora,Colorado,386261,414.7 km2,39°41′N 104°41′W﻿ / ﻿39.68°N 104.68°W
51,52,Tampa,Florida,384959,295.3 km2,27°58′N 82°28′W﻿ / ﻿27.97°N 82.47°W
52,53,New Orleans[n],Louisiana,383997,439.0 km2,30°03′N 89°56′W﻿ / ﻿30.05°N 89.93°W
53,54,Cleveland,Ohio,372624,201.2 km2,41°28′N 81°40′W﻿ / ﻿41.47°N 81.67°W
54,55,Anaheim,California,346824,130.3 km2,33°51′N 117°46′W﻿ / ﻿33.85°N 117.76°W
55,56,Honolulu[o],Hawaii,350964,156.7 km2,21°19′N 157°50′W﻿ / ﻿21.32°N 157.84°W
56,57,Henderson,Nevada,317610,275.1 km2,36°00′N 115°02′W﻿ / ﻿36.00°N 115.03°W
57,58,Stockton,California,320804,161.1 km2,37°58′N 121°19′W﻿ / ﻿37.97°N 121.31°W
58,59,Lexington[p],Kentucky,322570,734.5 km2,38°02′N 84°27′W﻿ / ﻿38.04°N 84.45°W
59,60,Corpus Christi,Texas,317863,420.1 km2,27°45′N 97°10′W﻿ / ﻿27.75°N 97.17°W
60,61,Riverside,California,314998,210.3 km2,33°56′N 117°23′W﻿ / ﻿33.93°N 117.39°W
61,62,Santa Ana,California,310227,70.7 km2,33°44′N 117°53′W﻿ / ﻿33.73°N 117.88°W
62,63,Orlando,Florida,307573,286.5 km2,28°25′N 81°16′W﻿ / ﻿28.41°N 81.27°W
63,64,Irvine,California,307670,169.9 km2,33°40′N 117°46′W﻿ / ﻿33.67°N 117.77°W
64,65,Cincinnati,Ohio,309317,201.5 km2,39°08′N 84°30′W﻿ / ﻿39.14°N 84.50°W
65,66,Newark,New Jersey,311549,62.4 km2,40°43′N 74°10′W﻿ / ﻿40.72°N 74.17°W
66,67,Saint Paul,Minnesota,311527,134.7 km2,44°56′N 93°06′W﻿ / ﻿44.94°N 93.10°W
67,68,Pittsburgh,Pennsylvania,302971,143.5 km2,40°26′N 79°58′W﻿ / ﻿40.43°N 79.97°W
68,69,Greensboro,North Carolina,299035,335.7 km2,36°05′N 79°49′W﻿ / ﻿36.09°N 79.82°W
69,70,St. Louis[m],Missouri,301578,159.8 km2,38°38′N 90°14′W﻿ / ﻿38.63°N 90.24°W
70,71,Lincoln,Nebraska,291082,253.0 km2,40°49′N 96°41′W﻿ / ﻿40.81°N 96.68°W
71,72,Plano,Texas,285494,185.7 km2,33°03′N 96°44′W﻿ / ﻿33.05°N 96.74°W
72,73,Anchorage[q],Alaska,291247,"4,420.6 km2",61°10′N 149°17′W﻿ / ﻿61.17°N 149.28°W
73,74,Durham,North Carolina,283506,292.2 km2,35°59′N 78°54′W﻿ / ﻿35.98°N 78.90°W
74,75,Jersey City,New Jersey,292449,38.1 km2,40°43′N 74°04′W﻿ / ﻿40.71°N 74.06°W
75,76,Chandler,Arizona,275987,169.1 km2,33°17′N 111°51′W﻿ / ﻿33.28°N 111.85°W
76,77,Chula Vista,California,275487,128.5 km2,32°37′N 117°01′W﻿ / ﻿32.62°N 117.01°W
77,78,Buffalo,New York,278349,104.6 km2,42°53′N 78°51′W﻿ / ﻿42.89°N 78.85°W
78,79,North Las Vegas,Nevada,262527,262.4 km2,36°17′N 115°05′W﻿ / ﻿36.28°N 115.09°W
79,80,Gilbert[r],Arizona,267918,177.7 km2,33°19′N 111°44′W﻿ / ﻿33.31°N 111.74°W
80,81,Madison,Wisconsin,269840,206.2 km2,43°05′N 89°25′W﻿ / ﻿43.08°N 89.42°W
81,82,Reno,Nevada,264165,281.8 km2,39°32′N 119°50′W﻿ / ﻿39.54°N 119.84°W
82,83,Toledo,Ohio,270871,208.5 km2,41°40′N 83°35′W﻿ / ﻿41.66°N 83.58°W
83,84,Fort Wayne,Indiana,263886,286.7 km2,41°05′N 85°08′W﻿ / ﻿41.08°N 85.14°W
84,85,Lubbock,Texas,257141,348.6 km2,33°34′N 101°53′W﻿ / ﻿33.56°N 101.88°W
85,86,St. Petersburg,Florida,258308,160.1 km2,27°46′N 82°38′W﻿ / ﻿27.76°N 82.64°W
